id,type,isObscene,isAbstract,text
592,suffix,FALSE,FALSE,вис
593,suffix,FALSE,FALSE,миг
594,suffix,FALSE,FALSE,друз
595,suffix,FALSE,FALSE,срам
596,suffix,FALSE,FALSE,слёз
597,suffix,FALSE,FALSE,крюк
598,suffix,FALSE,FALSE,кров
599,suffix,FALSE,FALSE,ед
600,suffix,FALSE,FALSE,жор
601,suffix,FALSE,FALSE,пуп
602,suffix,FALSE,FALSE,дрожь
603,suffix,FALSE,FALSE,скат
604,suffix,FALSE,FALSE,рот
605,suffix,FALSE,FALSE,щёк
606,suffix,FALSE,FALSE,пут
607,suffix,FALSE,FALSE,пыж
608,suffix,FALSE,FALSE,сум
609,suffix,FALSE,FALSE,луж
610,suffix,FALSE,FALSE,ласк
611,suffix,FALSE,FALSE,лоб
612,suffix,FALSE,FALSE,дой
613,suffix,FALSE,FALSE,грёз
614,suffix,FALSE,FALSE,двиг
615,suffix,FALSE,FALSE,тёр
616,suffix,FALSE,FALSE,пил
617,suffix,FALSE,FALSE,пыл
618,suffix,FALSE,FALSE,круч
619,suffix,FALSE,FALSE,порч
620,suffix,FALSE,FALSE,крив
621,suffix,FALSE,FALSE,скверн
622,suffix,FALSE,FALSE,луч
623,suffix,FALSE,FALSE,шиз
624,suffix,FALSE,FALSE,муз
625,suffix,FALSE,FALSE,утроб
626,suffix,FALSE,FALSE,рвач
627,suffix,FALSE,FALSE,вед
628,suffix,FALSE,FALSE,хлыст
629,suffix,FALSE,FALSE,грёб
630,suffix,FALSE,FALSE,ворот
631,suffix,FALSE,FALSE,мёт
632,suffix,FALSE,FALSE,клац
633,suffix,FALSE,FALSE,чад
634,suffix,FALSE,FALSE,щёлк
635,suffix,FALSE,FALSE,сев
636,suffix,FALSE,FALSE,сов
637,suffix,FALSE,FALSE,гриб
638,suffix,FALSE,FALSE,клякс
639,suffix,FALSE,FALSE,скоб
640,suffix,FALSE,FALSE,рос
641,suffix,TRUE,FALSE,шмар
642,suffix,FALSE,FALSE,тромб
643,suffix,FALSE,FALSE,шпаг
644,suffix,FALSE,FALSE,нерв
645,suffix,FALSE,FALSE,нрав
646,suffix,FALSE,FALSE,скал
647,suffix,FALSE,FALSE,молот
648,suffix,FALSE,FALSE,рыб
649,suffix,FALSE,FALSE,жаб
650,suffix,FALSE,FALSE,прыт
651,suffix,FALSE,FALSE,пляс
652,suffix,FALSE,FALSE,дроб
653,suffix,FALSE,FALSE,рыг
654,suffix,FALSE,FALSE,тёрн
655,suffix,FALSE,FALSE,прут
656,suffix,FALSE,FALSE,мрак
657,suffix,FALSE,FALSE,хрящ
658,suffix,FALSE,FALSE,зар
659,suffix,FALSE,FALSE,жуч
660,suffix,FALSE,FALSE,хрум
661,suffix,FALSE,FALSE,скок
662,suffix,FALSE,FALSE,смерт
663,suffix,FALSE,FALSE,вяз
664,suffix,FALSE,FALSE,спор
665,suffix,FALSE,FALSE,уд
666,suffix,FALSE,FALSE,язв
667,suffix,FALSE,FALSE,стыд
668,suffix,FALSE,FALSE,мыл
669,suffix,FALSE,FALSE,игл
670,suffix,FALSE,FALSE,сып
671,suffix,FALSE,FALSE,искр
672,suffix,FALSE,FALSE,дыб
